"","display_id","site_name","primary_agency_type","address","web_url","apa_accred","number_of_slots","high_stipend","appi_intervention_hours","appi_assess_hours","chance_of_interview","chance_of_intership"
"3157",351,"Kern County Mental Health Psychology Internship","Community Mental Health Center","P.O. Box 10003300 Truxtun AvenueBakersfield, California 93302","http://www.co.kern.ca.us/kcmh","Not Accredited",4,22464,450,100,0.26,0.21
"3169",4,"Kings County Hospital Center","State/County/Other Public Hospital","A Building -Room 1116451 Clarkson AvenueBrooklyn, New York 11203","","Accredited",10,26330,400,50,0.33,0.13
"3181",228,"Kingston Internship Consortium","Consortium","C/O Ongwanada191 Portsmouth AvenueKingston, Ontario K7M 8A6","http://www.ongwanada.com","Not Accredited",3,35000,0,0,0.49,0.11
"3193",885,"L.U.K. Crisis Center, Inc.","Community Mental Health Center","545 Westminster Street Fitchburg, Massachusetts 01420","http://www.luk.org","Not Accredited",2,20000,400,100,0.74,0.14
"3205",507,"Lake Forest College","University Counseling Center","Counseling Services555 N. Sheridan RoadLake Forest , Illinois 60045","http://www.lakeforest.edu","Not Accredited",2,22995,300,0,0.24,0.12
"3217",711,"Lakeview Specialty Hospital and Rehab","Child/Adolescent Psychiatric or Pediatrics","1701 Sharp Road Waterford, Wisconsin 53185","http://www.lakeviewsystem.com","Not Accredited",3,17500,600,100,0.28,0.3
"3229",173,"Lancaster General Health","Private General Hospital","2100 Harrisburg PikeP.O. Box 3200Lancaster, Pennsylvania 17604","http://www.lancastergeneralhealth.org","Accredited",2,24960,0,0,0.16,0.12
"3241",92,"Larned State Hospital","State/County/Other Public Hospital","1301 KS HWY 264 Larned, Kansas 67550-9365","http://www.kdads.ks.gov/Larned/Training/Psychology_Internship_Prog.html","Accredited",3,24000,350,250,0.51,0.15
"3253",358,"Lehigh University","University Counseling Center","36 University Drive4th Floor Johnson HallBethlehem , Pennsylvania 18015","http://studentaffairs.lehigh.edu/counseling","Not Accredited",2,26500,400,0,0.43,0.11
"3265",273,"Lenox Hill  Hospital","Private General Hospital","111 East 77th StreetSuite 5New York, New York 10075","http://www.lenoxhillhospital.org/psychologyinternship","Accredited",4,25000,600,200,0.25,0.15
"3277",74,"Lewisville Independent School District","School District","LISD Psychological ServicesPurnell Support Center, 136 W. Purnell StreetLewisville, Texas 75057","http://www.lisd.net","Accredited",4,30175,300,300,0.44,0.11
"3289",616,"Lexington VA Medical Center","Veterans Affairs Medical Center","1101 Veterans Drive (116A-4 LD) Lexington, Kentucky 40502","http://www.lexington.va.gov/careers/PsychologyTraining.asp","Accredited",5,23974,0,0,0.33,0.11
"3301",756,"Liberty Healthcare Ltd. Psychology Training Program","State/County/Other Public Hospital","1680 E. County Farm Road Rushville, Illinois 62681","http://www.libertyhealthcare.com/upload/112.pdf","Not Accredited",6,35000,500,200,0.37,0.36
"3313",468,"Life Skills Psychological Services, PC","Private Outpatient Clinic","805 Carmel Street Cadillac, Michigan 49601","http://lifeskillspsychologist.com/services.html","Not Accredited",2,26000,500,50,0.75,0.33
"3325",773,"Lincoln Hills/Copper Lake Schools Internship in Adolescent Clinical and Forensic Psychology","Prison or Other Correctional Facility","Lincoln Hills/Copper Lake SchoolsW4380 Copper Lake RoadIrma, Wisconsin 54442-9711","http://doc.wi.gov/Families-Visitors/Juvenile-Services","Accredited",3,31650,0,0,0.57,0.11
"3337",479,"Lincoln Medical and Mental Health Center","State/County/Other Public Hospital","234 East 149th Street Bronx, New York 10451","http://c.ymcdn.com/sites/www.nyspa.org/resource/resmgr/Students/Internship-Lincoln.pdf","Accredited",5,25197,0,0,0.23,0.1
"3349",1556,"Linden Oaks at Edward","Private Psychiatric Hospital","852 S. West Street Naperville, Illinois 60540","http://www.edward.org","Not Accredited",9,20800,0,0,0.34,0.31
"3361",570,"Loma Linda University School of Medicine","Medical School","Loma Linda University ~ Behavioral Health InstituteDepartment of Psychiatry1686 Barton Rd, Box E Redlands, California 92373","http://www.llu.edu/medicine/psychiatry/psychology/internship","Accredited",4,19000,0,0,0.29,0.1
"3373",622,"Loma Linda VAMC (Jerry L. Pettis VA)","Veterans Affairs Medical Center","11201 Benton Street Loma Linda, California 92357-9911","http://www.psychologytraining.va.gov/","Accredited",7,26704,500,100,0.25,0.17
"3385",443,"London Clinical Psychology Residency Consortium","Consortium","c/o Psychological Services, London Health Sciences Centre339 Windermere RoadLondon, Ontario N6A5A5","http://www.lhsc.on.ca/Research_Training/Psychological_Services/index.htm","Not Accredited",12,28000,0,0,0.43,0.19
"3397",308,"Lone Star Psychology Internship Consortium","Consortium","c/o UT Health NortheastDr. Charles Walker11937 US Hwy 271 Tyler, Texas 75708","http://lspic.wordpress.com/","Not Accredited",4,20000,0,0,0.62,0.25
"3409",592,"Long Island Jewish Medical Center -The Zucker Hillside Hospital","Private Psychiatric Hospital","The Zucker Hillside Hospital, 75-59 263rd Street Glen Oaks, New York 11004-1150","http://www.northshorelij.com/hospitals/professional-education/psychology-training-programs-2","Accredited",11,25000,0,0,0.4,0.1
"3421",498,"Los Angeles County Department of Mental Health (LACDMH)","Prison or Other Correctional Facility","Jail Mental Health Services441 Bauchet Drive, Room 1017Los Angeles, California 90012","","Accredited",4,35826,500,0,0.33,0.12
"3433",855,"Louis Stokes Cleveland VA Medical Center","Veterans Affairs Medical Center","10701 EastBoulevard Cleveland, Ohio 44106","http://www.cleveland.va.gov/internship/psychology/Index.asp","Accredited",11,24923,0,0,0.5,0.1
"3445",320,"Louisiana School Psychology Internship Consortium","Consortium","411 S. Prieur St.Room 434CNew Orleans, Louisiana 70112","http://www.hdc.lsuhsc.edu/laspic/","Accredited",8,35000,200,100,0.47,0.24
"3457",787,"Louisiana State University Health Sciences Center, School of Medicine","Medical School","1542 Tulane Avenue2nd FloorNew Orleans, Louisiana 70112","http://www.medschool.lsuhsc.edu/psychiatry/lsu-psychology-internship","Accredited",6,25000,250,150,0.52,0.11
"3469",183,"Lucile Packard Children's Hospital at Stanford/Children's Health Council","Consortium","Stanford University Dept. of Psychiatry and Behavioral Sciences401 Quarry Rd.Stanford, California 94305","http://childpsychiatry.stanford.edu","Accredited",4,24000,350,150,0.24,0.18
"3481",495,"Madigan Army Medical Center","Armed Forces Medical Center","9040Jackson AveMCHJ-CLVTacoma, Washington 98431","http://www.mamc.amedd.army.mil/education/graduate-medical-education/default.aspx","Accredited",6,83491,400,150,0.36,0.38
"3493",933,"Madison VHA","Veterans Affairs Medical Center","2500 Overlook TerraceBuilding 7, ADTPMadison, Wisconsin 53704","http://www.psychologytraining.va.gov/madison/","Accredited",4,23974,250,50,0,0
"3505",25,"Mailman Center for Child Development/U Miami School of Medicine","Medical School","Division of Clinical PsychologyP.O. Box 016820 (D-820)Miami, Florida 33101","http://pediatrics.med.miami.edu/mailman-center/education-training/training-programs/internship-psych","Accredited",5,23795,250,150,0.27,0.11
"3517",649,"Maimonides Medical Center","Community Mental Health Center","4802 10th Avenue Brooklyn, New York 11219","http://www.maimonidesmed.org/GME/psychology/","Accredited",6,25000,400,150,0.3,0.1
"3529",318,"Malcolm Grow Medical Clinics  and Surgery Center (USAF)","Armed Forces Medical Center","779 MDOS/SGOW1050 W. Perimeter RoadJoint Base Andrews, Maryland 20762","http://www.79mdw.af.mil/units/779thmedicalgroup/index.asp","Accredited",6,75871,0,0,0.93,0.12
"3541",667,"Manhattan Psychiatric Center","State/County/Other Public Hospital","Wards Island Complex600 East 125 St.New York, New York 10035","https://www.omh.ny.gov/omhweb/facilities/mapc/graduate_education.htm","Accredited",4,33000,150,100,0.23,0.12
"3553",577,"Marcus Autism Center at Emory University School of Medicine, Department of Pediatrics","Medical School","1920 Briarcliff Rd. Atlanta, Georgia 30329","http://www.marcus.org/About-Us/Training/Psychology/Predoctoral-Psych-Internship","Accredited",6,28085,0,0,0.36,0.14
"3565",1418,"Maryville Academy","Child/Adolescent Psychiatric or Pediatrics","555 Wilson Lane Des Plaines, Illinois 60016-1771","http://www.maryvilleacademy.org/index.asp","Not Accredited",2,20000,0,0,0,0
"3577",26,"Massachusetts Mental Health Center/Harvard Medical School Dept. of Psychiatry at Beth Israel Deaconess Medical Center","Medical School","Mass. Mental Health Center75 Fenwood RoadBoston, Massachusetts 02115","http://www.bidmc.org/MedicalEducation/Departments/Psychiatry/ClinicalPsychologyInternshipProgram.aspx","Accredited",5,22032,0,0,0.34,0.07
"3589",735,"McGuire VA Medical Center","Veterans Affairs Medical Center","1201 Broad Rock BlvdPsychology 116 BRichmond, Virginia 23249","http://www.psychologytraining.va.gov/richmond/","Accredited",5,24459,250,0,0.28,0.09
"3601",397,"Medical College of Georgia-Charlie Norwood VA Medical Center Psychology Internship","Consortium","Charlie Norwood VA Medical Center#1 Freedom WayAugusta, Georgia 30904","http://www.augusta.edu/mcg/psychiatry/psychology/","Accredited",8,24014,400,40,0.59,0.13
"3613",648,"MEDVAMC - Houston,Texas","Veterans Affairs Medical Center","2002 Holcombe Blvd. Houston, Texas 77030-4211","http://go.usa.gov/jMEx","Accredited",9,27029,500,100,0.3,0.19
"3625",61,"Memorial University of Newfoundland","University Counseling Center","Counselling CentreUC5000St. John's, Newfoundland A1C5S7","http://www.mun.ca/counselling/residency/","Not Accredited",3,35500,250,50,0.76,0.16
"3637",589,"Memphis VA Medical Center","Veterans Affairs Medical Center","1030 Jefferson Avenue Memphis, Tennessee 38104","http://www.psychologytraining.va.gov/memphis/","Accredited",8,23974,400,150,0.29,0.16
"3649",727,"Mendota Mental Health Institute","State/County/Other Public Hospital","301 Troy Drive Madison, Wisconsin 53704-1599","https://www.dhs.wisconsin.gov/mendota/programs/psychintern2015.pdf","Accredited",3,38000,150,200,0.3,0.1
"3661",767,"Mental Health Systems, PC","Private Outpatient Clinic","6600 France Ave. S., Suite 230 Edina, Minnesota 55435","http://www.mhs-dbt.com","Not Accredited",3,28000,500,100,0.24,0.25
"3673",471,"MercyFirst","Child/Adolescent Psychiatric or Pediatrics","525 Convent Road Syosset, New York 11791-3868","http://www.mercyfirst.org","Accredited",6,24000,450,100,0.58,0.07
"3685",1359,"MetroHealth Medical Center","Academic Health Center","2500 MetroHealth Drive Cleveland, Ohio 44109","http://www.MetroHealth.org/education","Accredited",3,28500,750,100,0.42,0.13
"3697",736,"Metropolitan Detention Center","Prison or Other Correctional Facility","535 North Alameda Street Los Angeles, California 90012-3405","http://www.bop.gov","Accredited",3,55711,0,0,0.26,0.1
"3709",1551,"Metropolitan State Hospital","State/County/Other Public Hospital","11401 Bloomfield Avenue Norwalk, California 90650","http://www.dsh.ca.gov/Metropolitan/default.asp","Not Accredited",5,39240,0,0,0,0
"3721",423,"MHSPC","Consortium","University of Missouri Department of Health PsychologyMU North, CB 116.88115 Business Loop 70W Columbia, Missouri 65203","http://www.columbiamo.va.gov/docs/MHSPC%20Psychology%20Internship%20Brochure%202016-2017.pdf","Accredited",7,23974,0,0,0.5,0.12
"3733",81,"Miami University Student Counseling Service","University Counseling Center","195 Health Services CenterMiami UniversityOxford, Ohio 45056","http://miamioh.edu/student-life/student-counseling-service/about/apa-doctoral-internship/index.html","Accredited",4,22478,500,0,0.61,0.11
"3745",361,"Miami VA Healthcare System","Veterans Affairs Medical Center","1201 N. W. 16th St.116BMiami, Florida 33125-1693","http://www.psychologytraining.va.gov/miami","Accredited",8,25366,500,150,0.35,0.16
"3757",331,"Miami-Dade County","State/County/Other Public Hospital","Psychological Services Division701 NW 1 Ct., 9th FloorMiami, Florida 33136","http://www.miamidade.gov/socialservices/psychology-internship.asp","Accredited",4,15990,600,50,0.44,0.12
"3769",349,"Michigan State University","University Counseling Center","556 East Circle Drive, Room 207Student Services BuildingEast Lansing, Michigan 48824-1113","http://www.counseling.msu.edu","Accredited",4,24000,400,30,0.38,0.13
"3781",281,"Mid-Ohio Psychological Services, Inc.","Community Mental Health Center","2238 South Hamilton Road Suite 200Columbus , Ohio 43232-4382","http://www.mopsohio.com","Not Accredited",3,20500,400,50,0.79,0.08
"3793",908,"Middlesex Hospital","Community Health Center","Middlesex Hospital Center for Behavioral Health28 Crescent Street Middletown, Connecticut 06457","http://scott.jones@midhosp.org","Not Accredited",2,20000,0,0,0.59,0.15
"3805",726,"Milton Hershey School","Child/Adolescent Psychiatric or Pediatrics","Health CenterPO Box 830Hershey, Pennsylvania 17033-0830","http://www.mhskids.org","Accredited",3,26500,500,300,0.48,0.07
"3817",713,"Minneapolis VA Health Care System","Veterans Affairs Medical Center","One Veterans Drive Minneapolis, Minnesota 55417-2300","http://www.minneapolis.va.gov/education/psychology/internship/pre_setting.asp","Accredited",8,25402,250,50,0.33,0.15
"3829",703,"Minneapolis/Saint Paul Metropolitan Internship Consortium","Consortium","1515 Central Parkway Eagan, Minnesota 55121","http://www.argosy.edu","Not Accredited",6,22000,200,200,0.93,0.46
"3841",209,"Minnesota Department of Corrections","Prison or Other Correctional Facility","970 Pickett Street North Bayport, Minnesota 55003","http://www.doc.state.mn.us","Not Accredited",4,30000,0,0,0.55,0.12
"3853",279,"Minnesota Sex Offender Program","State/County/Other Public Hospital","1111 Highway 73 Moose Lake, Minnesota 55767","","Not Accredited",2,34264,0,0,0.43,0.08
"3865",510,"Mississippi State Hospital","State/County/Other Public Hospital","Mississippi State HospitalPsychological ServicesBuilding 51 Whitfield, Mississippi 39193","http://www.msh.state.ms.us/Internship/","Accredited",4,25540,300,100,0.46,0.12
"3877",48,"Momentous Institute","Community Mental Health Center","9705 Harry Hines Blvd Dallas, Texas 75220","http://www.momentousinstitute.org/","Accredited",3,30000,250,0,0.27,0.11
"3889",750,"Montana State University, Bozeman","University Counseling Center","211 Swingle BuildingP.O. Box 173180Bozeman, Montana 59717-3180","http://www.montana.edu/counseling","Accredited",3,23795,400,0,0.35,0.09
"3901",527,"Monterey County Behavioral Health Doctoral Psychology Training Program","Community Mental Health Center","951-BBlanco Circle Salinas, California 93901","http://www.co.monterey.ca.us/intern/","Not Accredited",3,27000,500,175,0.38,0.14
"3913",636,"Morrison Child and Family Services","Child/Adolescent Psychiatric or Pediatrics","912 NE Kelly AveSuite 200Gresham, Oregon 97030","http://www.morrisonkids.org","Accredited",5,23660,400,60,0.31,0.12
"3925",822,"Mount Sinai Beth Israel Medical Center","Academic Health Center","1st Ave. at 16th St.10th floor, Bernstein Bldg, POSANew York, New York 10003","http://www.wehealny.org/professionals/residency/bi_psychology.html","Accredited",6,30000,600,50,0.33,0.1
"3937",317,"Mount Sinai Hospital","Community Health Center","312-320 East 94th Street New York City, New York 10128","http://www.mountsinai.org/patient-care/service-areas/adolescent-health-center","Accredited",3,20000,500,50,0.19,0.08
"3949",760,"Mount Washington Pediatric Hospital","Child/Adolescent Psychiatric or Pediatrics","1708 West Rogers Avenue Baltimore, Maryland 21209-4596","http://www.mwph.org/services/psychology_internship_program.htm","Accredited",5,28000,200,200,0.27,0.1
"3961",88,"Mt. Sinai Services","State/County/Other Public Hospital","79-01 BroadwayOffice D-10-26Elmhurst, New York 11373-1368","http://mountsinaiservicespsychologyinternship.info/","Accredited",3,21000,0,0,0.32,0.06
"3973",542,"Multicultural Psychology Internship Program","Community Mental Health Center","110 Maple Street Springfield, Massachusetts 01105","http://www.bhninc.org","Not Accredited",3,24000,1000,0,0.32,0.43
"3985",497,"Napa State Hospital","State/County/Other Public Hospital","2100 Napa-Vallejo Hwy. Napa, California 94558-6293","http://www.dsh.ca.gov/Napa/docs/Psychology_Internship_Brochure_2014-2015.pdf","Accredited",4,30555,100,100,0.18,0.15
"3997",70,"Nassau University Medical Center","State/County/Other Public Hospital","2201 Hempstead Turnpike East Meadow, New York 11554","http://www.numc.edu","Accredited",5,31576,0,0,0.39,0.1
"4009",712,"Natalis Counseling & Psych Solution","Community Mental Health Center","1600 University AveSuite 12St. Paul, Minnesota 55114","http://www.natalispsychology.com","Not Accredited",4,20000,0,0,0,0
"4021",474,"Nationwide Children's Hospital","Child/Adolescent Psychiatric or Pediatrics","3rd Floor, G Building700 Children's DriveColumbus, Ohio 43205","http://www.nationwidechildrens.org     SEARCH TERM:  Psychology Internship","Accredited",13,28000,250,250,0.43,0.11
"4033",121,"Naval Medical Center, San Diego","Armed Forces Medical Center","Naval Medical Center34800 Bob Wilson DriveSan Diego, California 92134-5000","http://www.wrnmmc.capmed.mil/ResearchEducation/GME/SitePages/Psychology/Internship.aspx","Accredited",6,75397.68,500,0,0.8,0.25
"4045",1555,"NC Dept. of Public Safety","Prison or Other Correctional Facility","831 W. Morgan St. Raleigh, North Carolina 27699","http://www.ncdps.gov","Not Accredited",6,23660,400,100,1,0.36
"4057",84,"Nebraska Internship Consortium in Professional Psychology","Consortium","49 Teachers College Hall Lincoln, Nebraska 68588-0345","http://cehs.unl.edu/nicpp/","Accredited",32,34900,300,0,0.57,0.23
"4069",174,"Nebraska Mental Health Centers","Private Outpatient Clinic","4545 South 86th Street Lincoln, Nebraska 68526","http://www.nmhc-clinics.com","Not Accredited",3,24000,0,0,0.53,0.12
"4081",408,"Nemours/Alfred I. duPont Hospital for Children","Academic Health Center","Department of PediatricsP.O. Box 269Wilmington, Delaware 19899-6269","http://www.nemours.org/loader.html?pageIndex=/content/nemours/www/healthpro/gme/internship/psychology","Accredited",8,31928,0,0,0.24,0.19
"4093",439,"Neurobehavioral Institute of Miami","Other","100 Miracle MileSuite # 330 Coral Gables, Florida 33134","http://www.neurobehavioralmiami.com","Not Accredited",2,18000,0,0,0,Inf
"4105",1680,"Nevada Psychology Internship Consortium (NV-PIC)","Consortium","727 Fairview DriveSuite ACarson City, Nevada 89701","http://www.nv-pic.org","Not Accredited",5,24000,0,0,0.82,0.22
"4117",473,"New Connections Academy","School District","865 E Wilmette Road Palatine , Illinois 60074","http://www.newconnectionsacademy.net","Not Accredited",3,23000,850,50,0.93,0.23
"4129",204,"New Mexico State University","University Counseling Center","Garcia Annex, MSC 35753024 Andrew Wall PlaceLas Cruces, New Mexico 88003","http://www.nmsu.edu/~counsel/settings.html","Accredited",4,22368,400,0,0.28,0.18
"4141",762,"New York City Children's Center-Queens Campus","State/County/Other Public Hospital","74-03 Commonwealth Blvd Bellerose, New York 11426","https://www.omh.ny.gov/omhweb/facilities/nyccc/","Accredited",2,33000,500,0,0.53,0.03
"4153",95,"New York University - Bellevue Hospital Center","State/County/Other Public Hospital","462 First AvenueRoom 20W3New York, New York 10016","http://psych.med.nyu.edu/education/psychology-internship","Accredited",14,25832,0,0,0.34,0.11
"4165",749,"New York University Langone Medical Center","Medical School","Ambulatory Care Center, 240 East 38th Street, 17th Floor New York, New York 10016-4901","http://www.med.nyu.edu/rusk/educationtraining/psychology-internship","Accredited",10,30000,500,100,0.4,0.12
"4177",232,"NewYork Presbyterian Hospital/Weill-Cornell Medical Center","Medical School","New York Presbyterian Medical Center - Cornell Campus425 East 61st Street - PH Floor, Room 1350New York, New York 10065","http://www.cornellpsychiatry.org/education/psychology_predoc.html","Accredited",4,27600,500,50,0.14,0.16
"4189",686,"Nicklaus Children's Hospital, formerly Miami Children's Hospital, Psychology Internship Program","Child/Adolescent Psychiatric or Pediatrics","3100 S.W. 62nd Ave. Miami, Florida 33155-3009","http://www.mch.com/page/EN/2818/Medical-Education/e.-GME---Psychology-Internship.aspx","Accredited",3,21000,550,150,0.34,0.09
"4201",155,"NMVAHCS","Consortium","1501 San Pedro Dr. SEBHCL (116)Albuquerque, New Mexico 87108","http://www.albuquerque.va.gov/careers/Psychology_Training.asp","Accredited",11,23974,500,50,0.48,0.1
"4213",633,"North Bronx Healthcare Network: Jacobi Medical Center/North Central Bronx Hospital","State/County/Other Public Hospital","Jacobi Medical Center/North Central Bronx HospitalBuilding 1, Room 8E24A, 1400 Pelham Parkway South Bronx, New York 10461","http://www.nyc.gov/html/hhc/jacobi/html/careers/careers.shtml","Accredited",13,25197,500,50,0.53,0.14
"4225",1486,"North Carolina State University","University Counseling Center","2815 Cates AveCampus Box 7312Raleigh, North Carolina 27712","https://counseling.dasa.ncsu.edu/","Not Accredited",4,28000,400,0,0.36,0.25
"4237",36,"North Florida/South Georgia Veterans Health System","Veterans Affairs Medical Center","1601 SW Archer Road Gainesville, Florida 32608-1197","http://www.northflorida.va.gov/careers/psychology/index.asp","Accredited",6,23974,600,0,0.4,0.12
"4249",458,"Northeast Florida State Hospital","State/County/Other Public Hospital","7487 South State Road 121 Macclenny, Florida 32063-9777","http://www.myflfamilies.com/service-programs/mental-health/nefsh","Accredited",3,21600,0,0,0.54,0.07
"4261",428,"Northeastern Oklahoma Psychology Internship Program","Consortium","PO Box 69 Vinita, Oklahoma 74301-0069","http://www.nopip.org","Accredited",10,22000,500,0,0.53,0.1
"4273",391,"Northern Arizona VA Health Care System","Veterans Affairs Medical Center","500 N Hwy 89Stop 116Prescott, Arizona 86313","http://www.prescott.va.gov/careers/Psychology_Training.asp","Accredited",3,24014,500,200,0.58,0.11
"4285",1664,"Northern California Department of Corrections and Rehabilitation Consortium (NCDCRC)","Prison or Other Correctional Facility","Northern CaliforniaP.O. Box 290002Represa, California 95671","http://www.cphcs.ca.gov/mental-health-careers.aspx","Not Accredited",17,34668,800,250,0,0
"4297",534,"Northern Illinois University","University Counseling Center","Campus Life Building 200 DeKalb, Illinois 60115-2854","http://www.niu.edu/counseling","Accredited",3,23660,400,0,0.33,0.1
"4309",159,"Northern Ontario Psychology Internship Consortium (NORPIC)","Consortium","Mental Health Outpatient Programs710 Victoria Avenue EastThunder Bay, Ontario P7C 5P7","http://norpic.net","Not Accredited",3,30000,0,0,0.77,0.15
"4321",561,"Northport VAMC","Veterans Affairs Medical Center","79 Middleville Road Northport, New York 11768-2290","http://www.northport.va.gov/NORTHPORT/docs/psychologyinternship.pdf","Accredited",3,27031,500,75,0.68,0.05
"4333",338,"Northwestern University","University Counseling Center","633 Emerson Street Evanston, Illinois 60208-4000","http://www.northwestern.edu/counseling/professional-training/welcome-from-caps-training-director/index.html","Accredited",3,27419,400,0,0.24,0.1
"4345",887,"Northwood Health Systems","Community Mental Health Center","Northwood Health Systems2121 Eoff StreetWheeling, West Virginia 26003-3805","http://northwoodhealth.com","Not Accredited",2,28000,400,25,0.55,0.17
"4357",743,"Norwich University","University Counseling Center","Box 21158 Harmon DriveNorthfield, Vermont 05663","http://none","Not Accredited",2,33200,500,30,0.41,0.18
"4369",277,"Nova Scotia Capital District Mental Health","State/County/Other Public Hospital","Dr. Jacqueline CohenBPD Treatment Program, Room B116D Marshall BuildingNova Scotia Hospital Site, 294 Pleasant Street Dartmouth, Nova Scotia B2Y 3S3","http://tinyurl.com/peqopox","Not Accredited",2,27500,0,0,0.35,0.11
"4381",253,"Nova Southeastern University Psychology Services Center","Psychology Department","3301 College Avenue Ft. Lauderdale, Florida 33314-7796","http://psychology.nova.edu/common-pdf/programs/trainingprograms/psc_brochure.pdf","Accredited",5,19000,1000,0,0.35,0.18
"4393",143,"Nystrom & Associates, Ltd","Private Outpatient Clinic","1900 Silver Lake Road New Brighton, Minnesota 55112","http://nystromcounseling.com","Not Accredited",8,20000,0,0,0.3,0.67
"4405",1568,"Oakes Children's Center","Community Mental Health Center","1550 Treat Ave San Francisco, California 94110","http://oakeschildrenscenter.org","Not Accredited",3,20000,0,0,0,0
"4417",328,"Ohio Psychology Internship - Formerly Northeastern Ohio Universities College of Medicine","Consortium","37 N. Broadway Street Akron, Ohio 44308-1910","http://www.summit-psychological.com","Accredited",5,17500,500,100,0.49,0.18
"4429",780,"Ohio State University","University Counseling Center","Younkin Success Center, 4th Floor1640 Neil AvenueColumbus, Ohio 43201-2333","http://www.ccs.osu.edu","Accredited",5,26000,400,10,0.3,0.13
"4441",1485,"Ohio State University","Academic Health Center","OSU Harding Hospital1670 Upham DriveColumbus, Ohio 43201","http://psychiatry.osu.edu/","Not Accredited",2,27000,500,150,0.69,0.09
"4453",437,"Ohio University, Counseling and Psychological Services,","University Counseling Center","2 Health Center Drive Athens, Ohio 45701","http://www.ohio.edu/counseling/training/Doctoral-Internship.cfm","Not Accredited",3,28851,400,0,0.74,0.15
"4465",499,"OhioGuidestone","Community Mental Health Center","16101 Snow RoadSuite #103Brook Park, Ohio 44142","http://www.ohioguidestone.org/index.php/employment/page/predoctoral-internship-experience","Accredited",8,20000,0,0,0.37,0.17
"4477",631,"Oklahoma Health Consortium","Consortium","Goddard Health Center620 Elm, Room 201Norman, Oklahoma 73019","http://www.ou.edu/content/ucc/training/APADoctoralInternship.html","Accredited",6,28000,500,0,0.76,0.14
"4489",678,"Ontario Shores: Centre for Mental Health Sciences","State/County/Other Public Hospital","700 Gordon StreetWhitby, Ontario L1N5S9","http://www.ontarioshores.ca","Not Accredited",2,32000,600,0,0.21,0.12
"4501",605,"Oregon Health & Science University - Univ. Center for Excellence on Developmental Disabilities","Medical School","P.O. Box 574 Portland, Oregon 97207-0574","http://www.ohsu.edu/psychologyinternship","Accredited",5,28352,0,0,0.32,0.11
"4513",1730,"Oregon State Hospital","State/County/Other Public Hospital","2600 Center St. NE Salem, Oregon 97301","http://oshpip.org","Not Accredited",3,24516,500,50,0.56,0.2
"4525",80,"Oregon State University","University Counseling Center","500 Snell Hall Corvallis, Oregon 97331-1644","http://oregonstate.edu/counsel/doctoral-internship","Accredited",4,32000,500,0,0.26,0.11
"4537",87,"Orlando VA Medical Center","Veterans Affairs Medical Center","5201 Raymond Street Orlando, Florida 32803","","Accredited",6,23974,650,250,0.59,0.07
"4549",888,"Oscar G. Johnson VA Medical Center","Veterans Affairs Medical Center","325 East H Street Iron Mountain, Michigan 49801","http://www.ironmountain.va.gov/careers/","Accredited",2,23974,200,100,0.39,0.1
"4561",717,"Pace University","University Counseling Center","156 William Street, 8th Floor New York, New York 10038-1598","http://www.pace.edu/counseling-center/node/57","Accredited",4,27160,400,0,0.15,0.17
"4573",470,"Pacific Clinics","Community Mental Health Center","Pacific ClinicsClinical Intern Training Department2550 E. Foothill Blvd. Pasadena, California 91107","http://www.pacificclinics.org","Accredited",10,24000,350,150,0.29,0.11
"4585",152,"Pacific Islands Health Care System, VA","Veterans Affairs Medical Center","Spark M. Matsunaga Medical Center459 Patterson RoadHonolulu, Hawaii 96819-1522","http://www.psychologytraining.va.gov/","Accredited",6,26080,400,100,0.43,0.12
"4597",1392,"Pacific Rehabilitation Centers","Private Outpatient Clinic","2515 140th AveSuite E-110Bellevue, Washington 98005","http://www.pacificrehabilitation.com","Not Accredited",2,22500,400,50,0.35,0.11
"4609",535,"Palos Behavioral Health Professionals","Private Outpatient Clinic","11800 S. 75th Ave. (Lake Katherine Drive)3rd FloorPalos Heights, Illinois 60463","http://www.pbhp.net","Not Accredited",3,19500,0,0,0.24,0.24
"4621",763,"Park Avenue Center","Other","2318 Park Avenue South Minneapolis, Minnesota 55404","http:// http://www.angelfire.com/psy/parkavenuecenter/intern_mental_health.html","Not Accredited",3,23660,0,0,0.54,0.31
"4633",78,"Park Center, Inc.","Community Mental Health Center","909 East State Boulevard Fort Wayne, Indiana 46805-3404","http://www.parkcenter.org/predocintern.htm","Accredited",5,23670,0,0,0.37,0.18
"4645",282,"Park Place Behavioral Health Care","Community Mental Health Center","206 Park Place Blvd. Kissimmee, Florida 34741","http://www.ppbh.org","Not Accredited",4,17000,400,100,0.35,0.21
"4657",366,"Patton State Hospital","State/County/Other Public Hospital","3102 E. Highland Avenue Patton, California 92369-0900","http://www.dsh.ca.gov/patton/internships_training/Psychology_Internship_Program.asp","Accredited",4,41352,150,150,0.14,0.19
"4669",1525,"Penn State Milton S. Hershey Medical Center","Academic Health Center","Dept. of Psychiatry H073500 University DriveHershey, Pennsylvania 17033","http://www.pennstatehershey.org/web/psychiatry/education/internship","Accredited",3,24003.2,250,250,0.87,0.07
"4681",819,"Pennsylvania Counseling Services","Community Mental Health Center","200 North 7th StreetLebanon, Pennsylvania 17046","http://www.pacounseling.com/","Not Accredited",5,23000,400,40,0.73,0.13
